file,newspaper,title,date,category
50074.txt,www.zugo.md,"foto | Zeama, coltunasi si Olivie in Alaska. Doi soti moldoveni au deschis primul restaurant cu specific national",2018-12-31T12:08:04+00:00,Stiri
50075.txt,www.zugo.md,"Varsatorii – indragostiti pina peste urechi, iar racii – prea luati de ginduri. Ce ne prezic astrele pentru saptamina care vine?",2019-03-31T17:22:18+00:00,Stiri
50076.txt,www.zugo.md,foto | Mers de pinguin si atentie maxima. 5 recomandari ZUGO ca sa nu cazi pe gheata,2018-11-24T11:18:51+00:00,Stiri
50077.txt,www.zugo.md,"video | Doi adolescenti, injunghiati in curtea unui bloc din Chisinau. Suspectii au fost retinuti",2025-01-10T09:28:31+00:00,Stiri
50078.txt,www.zugo.md,Sfaturi ZUGO | Cu autobuzul sau troleibuzul pina in orice colt al orasului. Cine circula gratuit cu transportul public in Chisinau?,2018-08-09T09:47:03+00:00,Stiri
50079.txt,www.zugo.md,#PrimaData. Ce reguli trebuie sa urmezi la primul tau interviu de angajare?,2018-09-13T09:28:21+00:00,Stiri
50080.txt,www.zugo.md,Sfaturi ZUGO: Salveaza o viata. Cum poti oferi primul ajutor in caz de accident rutier?,2018-08-07T09:44:58+00:00,Stiri
50081.txt,www.zugo.md,"#PrimaData. Nu mai amina, e important pentru sanatatea ta! Cum sa te pregatesti pentru prima vizita la ginecolog si urolog?",2018-11-21T11:14:28+00:00,Stiri
50082.txt,www.zugo.md,#EroulSaptaminii. A promovat tara printr-un film despre Calarasi. Cine este moldoveanul care ne-a facut mindri la un festival din Grecia?,2018-11-12T18:23:23+00:00,Stiri
50083.txt,www.zugo.md,"foto | Un tablou pierdut de mai multe secole si gasit in podul unei case, scos la licitatie. Cite milioane ar putea costa comoara?",2019-02-28T17:09:22+00:00,Stiri
50084.txt,www.zugo.md,meteo | Aprilie incepe cu temperaturi generoase si mult soare. Cum va fi vremea saptamina viitoare?,2019-03-31T16:36:29+00:00,Stiri
50085.txt,www.zugo.md,foto | Imbulzeala la sectia de votare din Balti. Zeci de moldoveni au stat in rind pentru a vota presedintele Ucrainei,2019-03-31T12:42:58+00:00,Stiri
50086.txt,www.zugo.md,"Numar record de credite ipotecare! Expert IDIS Viitorul: In 2018 a fost inregistrata o crestere cu 1,3 miliarde de lei",2019-02-28T19:00:08+00:00,Stiri
50087.txt,www.zugo.md,"foto | #PrimaData. Sfaturi, strategii si istorii. Cum sa te pregatesti de prima ta calatorie?",2018-10-11T09:53:32+00:00,Stiri
50088.txt,www.zugo.md,"foto | „La inceput librariile nu voiau sa-l accepte”. Dupa 5 luni de la lansare, romanul „Dulce Infern” cucereste orase din intreaga lume",2018-10-05T09:00:36+00:00,Stiri
50089.txt,www.zugo.md,video | Ti se rupe inima: Momentul in care un elefant legat cu lanturi se prabuseste si moare in fata mai multor oameni,2019-04-30T14:08:25+00:00,Stiri
50090.txt,www.zugo.md,#EroinaSaptaminii. A preparat delicii traditionale italienilor pentru a face lucruri frumoase in Moldova. Tatiana Nogailic – conationala care a ramas cu sufletul acasa,2018-11-26T14:06:06+00:00,Stiri
50091.txt,www.zugo.md,"foto | Unele gospodine si-au pus sortul de ieri, altele dis-de-dimineata. Pregatirile pentru masa de Anul Nou, in toi",2018-12-31T16:04:27+00:00,Stiri
50092.txt,www.zugo.md,"video | „N-a vrut sa exprime nimic”, dar a transmis emotie. Igor Guzun a adunat zeci de texte si le-a publicat in Vinil Collection",2018-10-05T10:05:51+00:00,Stiri
50093.txt,www.zugo.md,"foto, video | #EroiiSaptaminii sunteti voi – oamenii care v-ati oferit sa ajutati victimele exploziei din sect. Riscani",2018-10-07T14:09:31+00:00,Stiri
50094.txt,www.zugo.md,video | Au renuntat la scena si au iesit in strada. Baietii de la 7 Klase au filmat un nou videoclip pentru piesa „Fata Urbana”,2019-01-31T17:42:56+00:00,Stiri
50095.txt,www.zugo.md,Cea mai mare retea de magazine de tip discount din Ucraina ar putea sa se extinda si in R. Moldova,2025-01-06T07:49:36+00:00,Stiri
50096.txt,www.zugo.md,video | Tanti Ludmila revine pe micile ecrane. Copiii din Moldova vor putea sa adoarma cu „Povestea de Seara”,2019-03-31T12:11:19+00:00,Stiri
50097.txt,www.zugo.md,Sfaturi ZUGO | Viata lor e in miinile tale. Cum poti salva o persoana ce sufera o criza epileptica in strada?,2018-08-17T09:59:52+00:00,Stiri
50098.txt,www.zugo.md,"La nici doi ani, risca sa-si piarda definitiv vederea. Ajuta-l pe Alexandru sa vada Turnul Eiffel, Marele Canion sau cel putin chipul sau in oglinda",2019-04-30T15:29:37+00:00,Stiri
50099.txt,www.zugo.md,Liderul diasporei moldovenesti din Rusia afirma ca Dodon minte in privinta amnistiei migrationale,2019-01-31T16:37:43+00:00,Stiri
50100.txt,www.zugo.md,Sfaturi ZUGO | Nu lasa frigul sa-ti raneasca pielea.Trucurile la care poti recurge pentru a avea grija de miini si fata,2018-11-06T11:16:46+00:00,Stiri
50101.txt,www.zugo.md,"video | Rominia, lovita de fulgere si tornade. Un autocar, prins in virtejul de vint, s-a rasturnat in Calarasi",2019-04-30T16:05:10+00:00,Stiri
50102.txt,www.zugo.md,"foto, video |  Valeria Lungu a fost eliminata din competitia „Bravo, ai stil!”. Cum au incurajat-o fanii pe moldoveanca?",2019-03-31T11:25:35+00:00,Stiri
50103.txt,www.zugo.md,"foto, video | #EroiiSaptaminii. Mai buni ca cei din SUA, Canada sau Brazilia. Performantele olimpicilor moldoveni ne-au dus faima in lumea intreaga",2018-10-15T13:11:18+00:00,Stiri
50104.txt,www.zugo.md,foto | Accident grav in sectorul Ciocana. Doua masini de taxi s-au ciocnit violent,2019-03-31T15:46:34+00:00,Stiri
50105.txt,www.zugo.md,"Eroina Saptaminii: Forta, ambitie, sacrificii! Moldoveanca Anastasia Nichita ne face mindri cu titlu de campioana mondiala la lupte libere",2018-09-23T20:00:30+00:00,Stiri
